ranking_year,ranking_category,institute_id,institute_name,city,state,score,rank
2023,Dental,IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,84.08,1
2023,Dental,IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,77.51,2
2023,Dental,IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,73.08,3
2023,Dental,IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,70.96,4
2023,Dental,IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,69.21,5
2023,Dental,IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,67.02,6
2023,Dental,IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,63.96,7
2023,Dental,IR-N-C-7240,"Manipal College of Dental Sciences, Mangalore",Mangalore,Karnataka,62.44,8
2023,Dental,IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,61.56,9
2023,Dental,IR-N-U-0108,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,61.14,10
2023,Dental,IR-N-C-35008,JSS Dental College and Hospital,Mysuru,Karnataka,60.06,11
2023,Dental,IR-N-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.82,12
2023,Dental,IR-N-C-30756,Postgraduate Institute of Dental Sciences,Rohtak,Haryana,59.66,13
2023,Dental,IR-N-U-0724,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,58.99,14
2023,Dental,IR-N-C-14033,"Govt. Dental College, Nagpur",Nagpur,Maharashtra,58.87,15
2023,Dental,IR-N-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,58.31,16
2023,Dental,IR-N-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,57.63,17
2023,Dental,IR-N-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,56.05,18
2023,Dental,IR-N-N-153,Nair Hospital Dental College,Mumbai,Maharashtra,55.7,19
2023,Dental,IR-N-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,55.68,20
2023,Dental,IR-N-C-5910,Government Dental College,Ahmedabad,Gujarat,55.62,21
2023,Dental,IR-N-N-238,SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,55.29,22
2023,Dental,IR-N-U-0461,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,55.15,23
2023,Dental,IR-N-C-40178,"Government Dental College, Bangalore",Bangalore,Karnataka,54.94,24
2023,Dental,IR-N-C-48122,Government Dental College,Thiruvananthapuram,Kerala,54.49,25
2023,Dental,IR-N-C-30570,"Vishnu Dental College, Bheemavaram",Bhimavaram,Andhra Pradesh,54.41,26
2023,Dental,IR-N-C-45605,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,53.9,27
2023,Dental,IR-N-C-8528,Yenepoya Dental College,Mangaluru,Karnataka,53.77,28
2023,Dental,IR-N-C-13829,"Govt. Dental College, Mumbai",Mumbai,Maharashtra,53.09,29
2023,Dental,IR-N-C-29150,Christian Dental College,Ludhiana,Punjab,52.84,30
2023,Dental,IR-N-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,52.83,31
2023,Dental,IR-N-C-29701,"Govt. Dental College, Indore",Indore,Madhya Pradesh,51.63,32
2023,Dental,IR-N-N-73,Army College of Dental Sciences,Secunderabad,Telangana,51.53,33
2023,Dental,IR-N-U-0078,Panjab University,Chandigarh,Chandigarh,51.21,34
2023,Dental,IR-N-C-24504,KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,50.62,35
2023,Dental,IR-N-C-40193,Bapuji Dental College & Hospital,Davangere,Karnataka,50.52,36
2023,Dental,IR-N-C-5911,Karnavati University,Gandhinagar,Gujarat,49.87,37
2023,Dental,IR-N-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,49.69,38
2023,Dental,IR-N-C-35422,Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital,Pune,Maharashtra,49.48,39
2023,Dental,IR-N-C-49744,Saraswati Dental College & Hospital,Lucknow,Uttar Pradesh,49.32,40
2023,Medical,IR-D-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,94.32,1
2023,Medical,IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,81.1,2
2023,Medical,IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,75.29,3
2023,Medical,IR-D-U-0236,National Institute of Mental Health & Neuro Sciences,Bangalore,Karnataka,72.46,4
2023,Medical,IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Puducherry,72.1,5
2023,Medical,IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,70.84,6
2023,Medical,IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,69.62,7
2023,Medical,IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.75,8
2023,Medical,IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,66.19,9
2023,Medical,IR-D-U-0266,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,65.24,10
2023,Medical,IR-D-C-49008,Madras Medical College & Government General Hospital,Chennai,Tamil Nadu,64.43,11
2023,Medical,IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,63.93,12
2023,Medical,IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,62.43,13
2023,Medical,IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,61.73,14
2023,Medical,IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,61.35,15
